Item,Q4 2007,Q4 2008,Q2 2009,Q4 2009,Q4 2010,Q2 2011,Q3 2011,Q4 2011,Q1 2012,Q2 2012,Q3 2012,Q4 2012,Q1 2013,Q2 2013,Q3 2013,Q4 2013,Q1 2014,Q2 2014,Q3 2014,Q4 2014,Q1 2015,Q2 2015,Q3 2015,Q4 2015,Q1 2016,Q2 2016,Q3 2016,Q4 2016,Q1 2017,Q2 2017,Q3 2017,Q4 2017,Q1 2018,Q2 2018,Q3 2018,Q4 2018,Q1 2019,Q2 2019,Q3 2019,Q4 2019,Q1 2020,Q2 2020,Q3 2020,Q4 2020,Q1 2021,Q2 2021,Q3 2021,Q4 2021,Q1 2022,Q2 2022,Q3 2022,Q4 2022,Q1 2023
7. Chi phí phải trả ngắn hạn,498667051.0,,7513432006.0,5546290296.0,7401904253.0,9998831581.0,11974696790.0,7200122761.0,9657295899.0,9167408686.0,11829779359.0,14298422860.0,17958491375.0,18339219908.0,22851821204.0,24976326042.0,8284444129.0,7880626683.0,7866612056.0,9286272850.0,13164804776.0,11985077319.0,17252774231.0,22544555948.0,13744753189.0,18199355069.0,60706606648.0,37697572702.0,22296849398.0,25427715733.0,20150994641.0,25722021614.0,15083792329.0,20930491068.0,7685673191.0,7936053210.0,12897947792.0,7531153939.0,4208337932.0,9404162174.0,7882736300.0,4875174228.0,6398590388.0,9944236556.0,8139173617.0,5859075416.0,10166832442.0,5916539244.0,5221940661.0,1310294536.0,14017637739.0,37834839311.0,55805517388.0
8. Phải trả nội bộ ngắn hạn,0.0,,0.0,0.0,0.0,177655000.0,177655000.0,97630000.0,45486285.0,4931724.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9. Phải trả theo tiến độ kế hoạch hợp đồng xây dựng,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10. Doanh thu chưa thực hiện ngắn hạn,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1103770710.0,6709587856.0,744303045.0,7259582661.0,1099699583.0,7317816742.0,1113797444.0,8892692249.0,2225658489.0,6283222917.0,810644834.0,7840949658.0,3445325129.0,2139378304.0,1240180634.0,7351174163.0,742535736.0,4263641673.0,1303641814.0,2536362337.0,970732266.0,3894823217.0,637235456.0,4228310314.0,1201282182.0,7065225206.0,938954804.0,477592970.0,464001819.0,382296486.0,281360201.0,156500000.0
11. Phải trả ngắn hạn khác,12184154994.0,,21283594776.0,20695071282.0,28670353804.0,18654804239.0,10795889250.0,12579425443.0,17170125202.0,23427985540.0,14028034347.0,19309020900.0,13927051229.0,21323154705.0,11574449511.0,22700818977.0,67952952822.0,66181810107.0,74109981968.0,69053097277.0,80785663707.0,83208515171.0,78934951047.0,78993818306.0,77356624529.0,79784218962.0,86177305675.0,49131666360.0,40945733539.0,38667431835.0,16857523036.0,12375073908.0,5096731781.0,6020058554.0,5501716135.0,1768652602.0,6800461228.0,6274357914.0,25261445257.0,27183600274.0,21516338063.0,11429585668.0,28659031379.0,37990468900.0,35876000268.0,44286644241.0,20171511994.0,12651276323.0,10713997279.0,18690221841.0,14700515917.0,8799392203.0,11358554292.0
12. Dự phòng phải trả ngắn hạn,687630509.0,,660972467.0,3534987388.0,5233385392.0,4624528856.0,3804395269.0,7185122742.0,8600866834.0,4973735874.0,8633803171.0,4101257265.0,6716229836.0,3216028040.0,6593760276.0,3685285330.0,5167952873.0,3684837709.0,4802291469.0,3062001018.0,5368840143.0,5390870440.0,6156019668.0,8380113763.0,8483040566.0,11101585051.0,10414400438.0,21801367245.0,12158348943.0,11942109075.0,13752283072.0,13566381363.0,11675309024.0,14392334532.0,13060095896.0,10078217905.0,11753710343.0,8521758519.0,6060968528.0,6505218518.0,7536092087.0,6702839184.0,8433497886.0,14699126695.0,13617203169.0,14081950926.0,14283716048.0,15927820100.0,14812194438.0,15039938275.0,15307115151.0,15851595942.0,13824932125.0
13. Quỹ khen thưởng phúc lợi,542651240.0,1575828687.0,802017860.0,3604206384.0,3961602774.0,3494358497.0,3154230779.0,5736751065.0,4449612010.0,4011077547.0,4109301912.0,4537000250.0,5415014212.0,5268224804.0,4919358765.0,4338680650.0,4552256147.0,3840123100.0,4410283776.0,4234301056.0,4521737312.0,3576824619.0,3766408362.0,4037654907.0,4506536101.0,4236183391.0,3713347680.0,6180801137.0,4788330129.0,4975168129.0,4987457129.0,5199592634.0,4041224133.0,4151921728.0,4225834837.0,3637518507.0,3695389789.0,3740979732.0,3579719732.0,3432509732.0,3293368751.0,3208076511.0,3192076511.0,3138726511.0,4414936565.0,4403091481.0,4269051480.0,4091838481.0,4356489296.0,4231346629.0,4156537206.0,3998090642.0,3655431740.0
14. Quỹ bình ổn giá,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15. Giao dịch mua bán lại trái phiếu chính phủ,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
II. Nợ dài hạn,11724900795.0,2616991004.0,3952506948.0,1751806763.0,62303433511.0,84128888815.0,104109311409.0,107952094816.0,104294751459.0,101866851451.0,64726980250.0,57686859147.0,61241741326.0,55923092521.0,48068136418.0,42803048006.0,50491261439.0,42391911041.0,34903067121.0,6053790649.0,9761238925.0,2422124496.0,4833773180.0,7956328234.0,7191282762.0,11661864820.0,12588926270.0,22945519930.0,40005529717.0,39840221398.0,33883437303.0,30189834694.0,30617143166.0,28008119946.0,25226910659.0,24415321368.0,13964392525.0,9882264264.0,9671472227.0,8780245878.0,7987744740.0,8981321084.0,8812391564.0,8603300389.0,11192688875.0,11058711020.0,9640738192.0,9322294468.0,8708736165.0,8962512012.0,8304163615.0,8110082029.0,9774716895.0
1. Phải trả người bán dài hạn,959881606.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2. Chi phí phải trả dài hạn,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,321763697.0,321763697.0,292023697.0,284818697.0,277953697.0,277953697.0,122055400.0,119360400.0,119360400.0,116810400.0,104805400.0,104805400.0,104805400.0,0.0,247923886.0,247923886.0,164520902.0,177761219.0,137691219.0,163476147.0,152774798.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3. Phải trả nội bộ về vốn kinh doanh,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4. Phải trả nội bộ dài hạn,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5. Phải trả dài hạn khác,10633331996.0,,972738200.0,972738200.0,972738200.0,972738200.0,972738200.0,1228632200.0,972738200.0,1074938200.0,1159905985.0,1159905985.0,1601595008.0,1686562793.0,1584362793.0,1584362793.0,1465815200.0,1465815200.0,1465815200.0,1465815200.0,1465815200.0,1487901770.0,1605015200.0,1134024770.0,1111938200.0,1111938200.0,1111938200.0,139200000.0,139200000.0,267161956.0,267161956.0,353554776.0,322008526.0,322008526.0,509262076.0,509262076.0,326453550.0,530772750.0,343519200.0,343519200.0,343519200.0,343519200.0,416057190.0,326453550.0,326453550.0,326453550.0,139200000.0,905293950.0,868717950.0,924717950.0,924717950.0,924717950.0,924717950.0
6. Vay và nợ thuê tài chính dài hạn,0.0,,2370000000.0,366976000.0,52848099585.0,79344422179.0,96504695674.0,100019975008.0,92098903807.0,92098903807.0,52411095834.0,51905012834.0,49155012834.0,49155012834.0,36655012834.0,36655012834.0,33000000000.0,30000000000.0,23500000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,382309000.0,44974000.0,0.0,0.0
7. Trái phiếu chuyển đổi,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8. Thuế thu nhập hoãn lại phải trả,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1025000000.0,8807938072.0,8807938072.0,2981990000.0,2981990000.0,3111800000.0,3111800000.0,3111800000.0,3606400000.0,3111800000.0,3111800000.0,3420000000.0,3420000000.0,2973800000.0,2973800000.0,2973800000.0,2973800000.0,2926400000.0,2926400000.0,2914000000.0,2914000000.0,2890600000.0,2890600000.0,2890600000.0,2890600000.0,3239200000.0
9. Dự phòng trợ cấp mất việc làm,131687193.0,,482518748.0,412092563.0,459003497.0,434114290.0,338874497.0,1318040858.0,1220892036.0,1117149338.0,1070830046.0,440636663.0,857853450.0,0.0,0.0,18836268.0,0.0,213691592.0,1180774592.0,1180774592.0,1238269375.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10. Dự phòng phải trả dài hạn,0.0,,127250000.0,0.0,0.0,0.0,663486594.0,1334170159.0,0.0,3459831941.0,0.0,0.0,0.0,799106000.0,771531950.0,579880962.0,1802174788.0,2468029181.0,378641473.0,1363255035.0,254510544.0,874151151.0,2686222708.0,6279768192.0,5566549290.0,10044336348.0,10978262798.0,18588594658.0,28376600457.0,28116060970.0,27994152725.0,24742709123.0,24908564980.0,22471558655.0,19516487485.0,18315103594.0,7201935390.0,2915487929.0,2685007981.0,1780541315.0,1795797247.0,2790923928.0,2587493032.0,2648115560.0,3213089969.0,3119881421.0,2471690450.0,1678512606.0,2799717118.0,2659023373.0,2416176384.0,2310908206.0,3500865643.0
11. Doanh thu chưa thực hiện dài hạn,0.0,,0.0,0.0,6589332710.0,2142000391.0,4378202496.0,1027167454.0,7078855757.0,1274281922.0,7344974994.0,1500753987.0,7058045834.0,1788252913.0,6627168765.0,1591773170.0,12873057187.0,6894160804.0,7027621592.0,693731558.0,6802643806.0,60071575.0,220771575.0,220771575.0,220771575.0,220771575.0,220771575.0,220771575.0,190735788.0,160700000.0,151772222.0,138380555.0,229914888.0,216523221.0,203131554.0,203131554.0,17855555.0,17855555.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12. Quỹ phát triển khoa học và công nghệ,0.0,,0.0,0.0,1434259519.0,1235613755.0,1251313948.0,3024109137.0,2923361659.0,2841746243.0,2740173391.0,2680549678.0,2569234200.0,2494157981.0,2430060076.0,2373181979.0,1350214264.0,1350214264.0,1350214264.0,1350214264.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2694000000.0,2369000000.0,2369000000.0,2369000000.0,1856389840.0,1940049372.0,1781424144.0,1781424144.0,1781424144.0,3058424144.0,3058424144.0,3058424144.0,3058424144.0,2736937074.0,2709601809.0,2682266544.0,2654931279.0,4726745356.0,4685976049.0,4115847742.0,3824487912.0,2149701097.0,2105861689.0,2027695281.0,1983855873.0,2109933302.0
B. Nguồn vốn chủ sở hữu,111683830186.0,192614832952.0,,245788009473.0,310928976951.0,325561987540.0,335254497614.0,379421694085.0,379781134170.0,350391451677.0,339186486595.0,330876229744.0,347658915315.0,336866339685.0,319991171682.0,317027715990.0,250514816153.0,246658855192.0,239974364346.0,254872717445.0,245584357945.0,234285577940.0,255759421431.0,284494203828.0,286448552778.0,278300846588.0,303777423321.0,349943691741.0,322670738533.0,328422581991.0,334644095972.0,327694239670.0,336909683093.0,341499020887.0,342133415360.0,338746677187.0,323771515125.0,325041575769.0,321223024923.0,309639581692.0,318800263339.0,317263547416.0,319733200913.0,325351721362.0,339342874754.0,340709217524.0,331342762427.0,339434452415.0,390607261595.0,387816451984.0,390082646695.0,402259861230.0,413886788535.0
I. Vốn chủ sở hữu,111683830186.0,192614832952.0,1377180799.0,245788009473.0,310928976951.0,325561987540.0,335254497614.0,379421694085.0,379781134170.0,350391451677.0,339186486595.0,330876229744.0,347658915315.0,336866339685.0,319991171682.0,317027715990.0,250514816153.0,246658855192.0,239974364346.0,254872717445.0,245584357945.0,234285577940.0,255759421431.0,284494203828.0,286448552778.0,278300846588.0,303777423321.0,349943691741.0,322670738533.0,328422581991.0,334644095972.0,327694239670.0,336909683093.0,341499020887.0,342133415360.0,338746677187.0,323771515125.0,325041575769.0,321223024923.0,309639581692.0,318800263339.0,317263547416.0,319733200913.0,325351721362.0,339342874754.0,340709217524.0,331342762427.0,339434452415.0,390607261595.0,387816451984.0,390082646695.0,402259861230.0,413886788535.0
1. Vốn đầu tư của chủ sở hữu,53647365000.0,72809560000.0,0.0,116103990000.0,116103990000.0,116103990000.0,116103990000.0,116103990000.0,127711950000.0,127711950000.0,127711950000.0,127711950000.0,127711950000.0,127711950000.0,127711950000.0,127711950000.0,127711950000.0,127711950000.0,127711950000.0,127711950000.0,127711950000.0,127711950000.0,153249760000.0,153249760000.0,153249760000.0,153249760000.0,183895280000.0,190647980000.0,190647980000.0,190647980000.0,190647980000.0,190647980000.0,190647980000.0,190647980000.0,190647980000.0,190647980000.0,190647980000.0,190647980000.0,190647980000.0,190647980000.0,190647980000.0,190647980000.0,190647980000.0,190647980000.0,190647980000.0,190647980000.0,190647980000.0,190647980000.0,213436540000.0,213436540000.0,213436540000.0,213436540000.0,245335910000.0
2. Thặng dư vốn cổ phần,13371382376.0,27076331464.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3. Quyền chọn chuyển đổi trái phiếu,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4. Vốn khác của chủ sở hữu,0.0,0.0,0.0,11323069275.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4100100000.0
5. Cổ phiếu quỹ,-1222974000.0,-545368076.0,0.0,-15680000.0,-15680000.0,-15680000.0,-15680000.0,-15680000.0,-15680000.0,-15680000.0,-15680000.0,-15680000.0,-15680000.0,-15680000.0,-15680000.0,-15680000.0,-15680000.0,-15680000.0,-15680000.0,-15680000.0,-15680000.0,-15680000.0,-15680000.0,-15680000.0,-15680000.0,-15680000.0,-15680000.0,-15680000.0,-15680000.0,-30680000.0,-30680000.0,-157680000.0,-467880000.0,-507880000.0,-721880000.0,-721880000.0,-721880000.0,-721880000.0,-721880000.0,-721880000.0,-721880000.0,-721880000.0,-721880000.0,-721880000.0,-721880000.0,-721880000.0,-721880000.0,-721880000.0,-721880000.0,-721880000.0,-721880000.0,-721880000.0,-721880000.0
6. Chênh lệch đánh giá lại tài sản,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-25719500435.0,-25719500435.0,-25719500435.0,-29892620983.0,-35204980892.0,0.0,-35564003523.0,-35564003524.0,-35564003524.0,-35564003524.0,-35564003524.0,-29276030497.0,-28686239976.0,-28686239976.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7. Chênh lệch tỷ giá hối đoái,0.0,0.0,0.0,0.0,0.0,152582338.0,245144477.0,211573378.0,-19145351.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8. Quỹ đầu tư phát triển,0.0,0.0,192231052.0,204783467.0,98919353.0,201150709.0,102300157.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-35564003524.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3302011395.0,3302049328.0,3302049327.0,4714974514.0,4689718349.0,4612696349.0,4689718349.0,7937095472.0,7865072721.0,7184228553.0,7184228554.0,10228471262.0,10228471262.0,10286782146.0,10289872811.0,11226611161.0
9. Quỹ dự phòng tài chính,0.0,0.0,1184949747.0,2524125699.0,2743029262.0,2911936326.0,2884372298.0,4439205790.0,3800722166.0,3614028639.0,3123098534.0,3846174739.0,3132233060.0,3265507726.0,3311653436.0,3443017651.0,3373473433.0,3397540265.0,3558808304.0,3468782905.0,3646112903.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10. Quỹ khác thuộc vốn chủ sở hữu,583099088.0,1448286609.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11. Lợi nhuận sau thuế chưa phân phối,8361303231.0,20057291302.0,0.0,35247195170.0,71597437196.0,72239266471.0,82686089112.0,100115480309.0,91159815816.0,82919435813.0,78508839537.0,71904467535.0,85586090626.0,82627400152.0,80483586469.0,85744164768.0,92514755017.0,91792991896.0,89877412862.0,102938624753.0,106095628529.0,100981994821.0,93686762519.0,118093061893.0,136803291223.0,125308695486.0,116716312905.0,149011433126.0,124394573727.0,125781891005.0,84138874976.0,79452356105.0,86052031479.0,89798506006.0,97578186612.0,91451542375.0,82906396885.0,80884129392.0,80743045775.0,64539439715.0,72151449917.0,73446286022.0,74698440906.0,73874916792.0,83302379465.0,84380320994.0,76006652212.0,84212921963.0,85297657447.0,79846186900.0,81457126812.0,94523634362.0,57601399308.0
LNST chưa phân phối lũy kế đến cuối kỳ trước,,,0.0,,,,,,,,,,,,,,,,,,,100792909249.0,80300367490.0,84231458758.0,85316201161.0,121581885310.0,95598901271.0,88638827014.0,80256360189.0,124394573727.0,63598811817.0,52615840308.0,64614655916.0,86968045067.0,86962109659.0,68860786779.0,57975344035.0,79866452477.0,79612024967.0,56740471600.0,55349172350.0,72036782132.0,71703415247.0,52919408934.0,47574515961.0,82754334128.0,84365541241.0,83717243934.0,57614838812.0,84417175408.0,79588367219.0,81792514590.0,55923652946.0
LNST chưa phân phối kỳ này,,,0.0,,,,,,,,,,,,,,,,,,,189085572.0,13386395029.0,33861603135.0,51487090062.0,3726810176.0,21117411634.0,60372606112.0,44138213538.0,1387317278.0,20540063159.0,26836515797.0,21437375563.0,2830460939.0,10616076953.0,22590755596.0,24931052850.0,1017676915.0,1131020808.0,7798968115.0,16802277567.0,1409503890.0,2995025659.0,20955507858.0,35727863504.0,1625986866.0,-8358889029.0,495678029.0,27682818635.0,-4570988508.0,1868759593.0,12731119772.0,1677746362.0
12. Nguồn vốn đầu tư xây dựng cơ bản,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13. Quỹ hỗ trợ sắp xếp doanh nghiệp,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14. Lợi ích của cổ đông không kiểm soát,36943654491.0,71768731653.0,0.0,80400525862.0,120401281140.0,133968741696.0,133248281570.0,158567124608.0,157143471539.0,136161717225.0,129858278524.0,127429317470.0,131244321629.0,123277161807.0,108499661777.0,100144263571.0,52649818138.0,49491553466.0,44561373615.0,50661660770.0,43351327405.0,41171316643.0,44402582435.0,48731065459.0,31975185079.0,35322074626.0,38745513940.0,39575989112.0,36330104782.0,40709630962.0,59887920996.0,57751583565.0,60677551614.0,61560414881.0,54629128748.0,57369034812.0,50939018240.0,50929334982.0,47251829820.0,51871992650.0,52007738908.0,49201443045.0,50495963658.0,56860986221.0,58177299817.0,58537723809.0,58225781662.0,58111201898.0,82366472886.0,85027133822.0,85624077737.0,84731694057.0,96344648066.0
II. Nguồn kinh phí và quỹ khác,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1. Nguồn kinh phí ,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2. Nguồn kinh phí đã hình thành tài sản cố định,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3. Quỹ dự phòng trợ cấp mất việc làm,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TỔNG CỘNG NGUỒN VỐN,281728124569.0,366058559105.0,,503301407770.0,611894639427.0,645743551730.0,763789165011.0,762707450960.0,744951564558.0,708572624054.0,678316958270.0,669973133438.0,629439492675.0,621828148898.0,580389833318.0,581904717578.0,461160191467.0,447525998007.0,428944434366.0,441597039110.0,466039937156.0,462422732936.0,529598322717.0,644930833521.0,593375791195.0,626174050717.0,703893566058.0,793179741154.0,569331113177.0,532821197718.0,528332777261.0,524479639073.0,502703535608.0,509457952550.0,474770256320.0,500466645971.0,464934775057.0,442188624106.0,510268163646.0,511937250727.0,504928587090.0,533446154119.0,567205682056.0,605679091241.0,593400689966.0,552998869611.0,529198305220.0,604504607325.0,627258211128.0,590513143129.0,638708316997.0,672747826834.0,654571151318.0
