Item,Q4 2006,Q4 2007,Q4 2008,Q4 2009,Q2 2010,Q3 2010,Q4 2010,Q1 2011,Q2 2011,Q3 2011,Q4 2011,Q1 2012,Q2 2012,Q3 2012,Q4 2012,Q1 2013,Q2 2013,Q3 2013,Q4 2013,Q1 2014,Q2 2014,Q3 2014,Q4 2014,Q1 2015,Q2 2015,Q3 2015,Q4 2015,Q1 2016,Q2 2016,Q3 2016,Q4 2016,Q1 2017,Q2 2017,Q3 2017,Q4 2017,Q1 2018,Q2 2018,Q3 2018,Q4 2018,Q1 2019,Q2 2019,Q3 2019,Q4 2019,Q1 2020,Q2 2020,Q3 2020,Q4 2020,Q1 2021,Q2 2021,Q3 2021,Q4 2021,Q1 2022,Q2 2022,Q3 2022,Q4 2022,Q1 2023
6. Phải trả người lao động,1434032254.0,2341001329.0,2665493579.0,3198197743.0,2964534351.0,3925634551.0,2715471196.0,2103554193.0,0.0,188645450.0,5661715180.0,2111002883.0,2153461823.0,3826853388.0,4839529467.0,2311021370.0,1668574854.0,1955306011.0,5015724320.0,2710883908.0,3404255255.0,4608046812.0,1155943483.0,284257686.0,198089031.0,202610535.0,1420000000.0,50687521.0,687492768.0,0.0,3565420288.0,601480909.0,1613343663.0,1043805216.0,4717377300.0,1538769075.0,179071456.0,88964971.0,4125256000.0,654553545.0,2006685712.0,1337519797.0,3204961350.0,1450983000.0,212344995.0,1683404670.0,5032016330.0,1680609134.0,647133100.0,584000000.0,2355653466.0,676677000.0,1143000000.0,4621199000.0,5954280700.0,3286999235.0
7. Chi phí phải trả ngắn hạn,0.0,1226327276.0,2714920613.0,1293750434.0,49752708.0,454037033.0,4100970655.0,6209745667.0,9551559402.0,141093940.0,820789917.0,458763635.0,3829935226.0,2680216805.0,4112041161.0,3048943402.0,6543244156.0,1214112103.0,6699782510.0,2974706853.0,8038981880.0,6952461886.0,6855946309.0,1698030199.0,2852231606.0,14628400798.0,5215306167.0,5634756700.0,6501670816.0,17478967434.0,16357557450.0,20285823632.0,24434324167.0,19420130721.0,16399075638.0,9831642932.0,8558406160.0,14214793865.0,18109526259.0,9495638620.0,7154314007.0,5379505413.0,11432239343.0,12246495868.0,5888920576.0,7328671243.0,17675256166.0,17258393684.0,4277419914.0,3803257889.0,4415120000.0,5190508956.0,16581603660.0,24352504679.0,10354302973.0,21075443101.0
8. Phải trả nội bộ ngắn hạn,0.0,0.0,0.0,0.0,10835523665.0,10500073141.0,0.0,16976506753.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9. Phải trả theo tiến độ kế hoạch hợp đồng xây dựng,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10. Doanh thu chưa thực hiện ngắn hạn,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17378109023.0,0.0,0.0,0.0,722280000.0,0.0,1503780000.0,97200000.0,918605000.0,33600000.0,810070000.0,265518750.0,1040083750.0,129180000.0,81390000.0,164575958.0,404331146.0,404331146.0,608593458.0,996775958.0,479872500.0,0.0
11. Phải trả ngắn hạn khác,16230681275.0,11870884987.0,15451637400.0,12244703527.0,7128621986.0,6362115232.0,10376070488.0,14060894052.0,18987708765.0,17994116886.0,23939422883.0,12432136850.0,13067604582.0,13812834339.0,14870510784.0,16004314532.0,18353357872.0,10799907316.0,9231270164.0,9759019013.0,5172543303.0,5788404437.0,8612424840.0,3892306927.0,4843490959.0,2132878659.0,6082412066.0,3967696310.0,8726064580.0,7091189629.0,11947643931.0,9104687487.0,9594181515.0,9036010735.0,9261795618.0,6975664031.0,15493912246.0,10234946956.0,8924272845.0,9574317759.0,17873339489.0,9943956847.0,12724719126.0,6345552620.0,13743179848.0,5977994947.0,11843889313.0,8760001494.0,15223668217.0,9552436479.0,8300591863.0,5793125424.0,10715163432.0,12555275815.0,13804606251.0,529897500.0
12. Dự phòng phải trả ngắn hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15304659631.0
13. Quỹ khen thưởng phúc lợi,73814613.0,-633681387.0,110579823.0,674385596.0,1402433596.0,725435096.0,278120096.0,187810096.0,1367891516.0,1318330096.0,910638370.0,336281090.0,449907238.0,275957238.0,143257238.0,-167292762.0,160392960.0,471234765.0,46134765.0,235376472.0,289418426.0,215152308.0,94552673.0,88652673.0,257694922.0,180594922.0,159594922.0,150294922.0,204503056.0,88603056.0,62653056.0,64413056.0,218623442.0,188723442.0,103463442.0,101163442.0,394542642.0,152892642.0,109942642.0,97142642.0,547211842.0,240311842.0,215211842.0,210311842.0,880505057.0,784505057.0,682705057.0,672305057.0,1164725057.0,1115625057.0,1026125057.0,1026825057.0,1246788018.0,720388018.0,708988018.0,0.0
14. Quỹ bình ổn giá,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,700788018.0
15. Giao dịch mua bán lại trái phiếu chính phủ,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
II. Nợ dài hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73296000.0,73296000.0,73296000.0,66446050.0,25906050.0,-177323475.0,-287246950.0,0.0,0.0,0.0,0.0,0.0,42022166.0,42022166.0,42022166.0,641666666.0,554166665.0,466666664.0,379166663.0,291666662.0,791081320.0,0.0,0.0,792895320.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29275597551.0,0.0,0.0,0.0
1. Phải trả người bán dài hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29275597551.0,0.0,0.0,0.0
2. Chi phí phải trả dài hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3. Phải trả nội bộ về vốn kinh doanh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4. Phải trả nội bộ dài hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5. Phải trả dài hạn khác,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42022166.0,42022166.0,42022166.0,0.0,0.0,0.0,0.0,0.0,791081320.0,0.0,0.0,792895320.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6. Vay và nợ thuê tài chính dài hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,641666666.0,554166665.0,466666664.0,379166663.0,291666662.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7. Trái phiếu chuyển đổi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8. Thuế thu nhập hoãn lại phải trả,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9. Dự phòng trợ cấp mất việc làm,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73296000.0,73296000.0,73296000.0,66446050.0,25906050.0,-177323475.0,-287246950.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10. Dự phòng phải trả dài hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11. Doanh thu chưa thực hiện dài hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12. Quỹ phát triển khoa học và công nghệ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B. Nguồn vốn chủ sở hữu,18673412930.0,51536988518.0,53030725737.0,52901606134.0,49538727202.0,52137933069.0,56320457478.0,57156892904.0,49270769982.0,46545554696.0,61081578641.0,53174537024.0,52495732238.0,54597038665.0,60543632964.0,60045868138.0,57553671080.0,55554646228.0,62334178609.0,56666116515.0,58495108550.0,61632004959.0,54859140297.0,55675438152.0,50662066603.0,52401513460.0,55820977735.0,57096244641.0,53700120502.0,56210575355.0,57943904507.0,61312374609.0,56995495451.0,60301107505.0,61213233861.0,62484898567.0,57935009138.0,59370284069.0,62048189425.0,62605208315.0,61471032297.0,62317083263.0,66601273605.0,68397861365.0,63861614685.0,65865389167.0,68316679624.0,69545053301.0,65448071877.0,64604797124.0,66670298503.0,67942083849.0,66229734190.0,72063263020.0,72805795804.0,74328207279.0
I. Vốn chủ sở hữu,18673412930.0,51536988518.0,53030725737.0,52901606134.0,49538727202.0,52137933069.0,56320457478.0,57156892904.0,49270769982.0,46545554696.0,61081578641.0,53174537024.0,52495732238.0,54597038665.0,60543632964.0,60045868138.0,57553671080.0,55554646228.0,62334178609.0,56666116515.0,58495108550.0,61632004959.0,54859140297.0,55675438152.0,50662066603.0,52401513460.0,55820977735.0,57096244641.0,53700120502.0,56210575355.0,57943904507.0,61312374609.0,56995495451.0,60301107505.0,61213233861.0,62484898567.0,57935009138.0,59370284069.0,62048189425.0,62605208315.0,61471032297.0,62317083263.0,66601273605.0,68397861365.0,63861614685.0,65865389167.0,68316679624.0,69545053301.0,65448071877.0,64604797124.0,66670298503.0,67942083849.0,66229734190.0,72063263020.0,72805795804.0,74328207279.0
1. Vốn đầu tư của chủ sở hữu,10000000000.0,29960100000.0,29960100000.0,29960100000.0,29960100000.0,29960100000.0,29960100000.0,29960100000.0,29960100000.0,29960100000.0,34360100000.0,29960100000.0,29960100000.0,29960100000.0,29960100000.0,29960100000.0,29960100000.0,29960100000.0,29960100000.0,29960100000.0,29960100000.0,30360100000.0,29960100000.0,29960100000.0,29960100000.0,29960100000.0,29960100000.0,29960100000.0,29960100000.0,29960100000.0,29960100000.0,29960100000.0,29960100000.0,29960100000.0,29960100000.0,29960100000.0,29960100000.0,29960100000.0,29960100000.0,29960100000.0,29960100000.0,29960100000.0,29960100000.0,29960100000.0,29960100000.0,29960100000.0,29960100000.0,29960100000.0,29960100000.0,29960100000.0,29960100000.0,59920200000.0,59920200000.0,59920200000.0,59920200000.0,59920200000.0
2. Thặng dư vốn cổ phần,0.0,9980050000.0,9980050000.0,9980050000.0,9980050000.0,9980050000.0,9980050000.0,9980050000.0,9980050000.0,9980050000.0,9980050000.0,9980050000.0,9980050000.0,9980050000.0,9980050000.0,9980050000.0,9980050000.0,9980050000.0,9980050000.0,9980050000.0,9980050000.0,9980050000.0,9980050000.0,9980050000.0,9980050000.0,9980050000.0,9980050000.0,9980050000.0,9980050000.0,9980050000.0,9980050000.0,9980050000.0,9980050000.0,9980050000.0,9980050000.0,9980050000.0,9980050000.0,9980050000.0,9980050000.0,9980050000.0,9980050000.0,9980050000.0,9980050000.0,9980050000.0,9980050000.0,9980050000.0,9980050000.0,9980050000.0,9980050000.0,9980050000.0,9980050000.0,0.0,0.0,0.0,0.0,0.0
3. Quyền chọn chuyển đổi trái phiếu,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4. Vốn khác của chủ sở hữu,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5. Cổ phiếu quỹ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6. Chênh lệch đánh giá lại tài sản,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7. Chênh lệch tỷ giá hối đoái,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8. Quỹ đầu tư phát triển,4012430349.0,5501969266.0,6011576152.0,6190118639.0,7366860762.0,7366860762.0,7366860762.0,7366860762.0,8674266808.0,8674266808.0,8810185358.0,8876615452.0,8876615452.0,8876615452.0,8876615452.0,8876615452.0,9105344960.0,9254713564.0,9254713564.0,9254713564.0,9382924950.0,9390266257.0,8902996316.0,11083480222.0,11273044127.0,11273044127.0,11273044127.0,11273044127.0,11485517961.0,11485517961.0,11485517961.0,11485517961.0,11792993202.0,11792993202.0,11792993202.0,11792993202.0,11792993202.0,11792993202.0,11792993202.0,11792993202.0,11792993202.0,11792993202.0,11792993202.0,11792993202.0,11792993202.0,11792993202.0,11792993202.0,11792993202.0,11792993202.0,11792993202.0,11792993202.0,0.0,0.0,0.0,0.0,0.0
9. Quỹ dự phòng tài chính,622807448.0,852177917.0,1114494196.0,1114494196.0,1486712202.0,1486712202.0,1486712202.0,1486712202.0,1877859889.0,1877859889.0,1945819164.0,1979034211.0,2039375668.0,2039375668.0,2039375668.0,2039375668.0,2153740422.0,2228424724.0,2228424724.0,2356342530.0,2420448222.0,2424118875.0,2180483906.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10. Quỹ khác thuộc vốn chủ sở hữu,6365747.0,-3634253.0,22229003.0,19229003.0,19229003.0,19229003.0,19229003.0,19229003.0,19229003.0,19229003.0,32820858.0,39463868.0,39463867.0,39463867.0,39463867.0,39463867.0,39463867.0,54400728.0,51792228.0,46575228.0,46575228.0,46575228.0,19229003.0,19229003.0,19229003.0,19229003.0,19229003.0,19229003.0,19229003.0,19229003.0,19229003.0,19229003.0,19229003.0,19229003.0,19229003.0,19229003.0,19229003.0,19229003.0,19229003.0,19229003.0,19229003.0,19229003.0,19229003.0,19229003.0,19229003.0,19229003.0,19229003.0,19229003.0,19229003.0,19229003.0,19229003.0,0.0,0.0,0.0,0.0,0.0
11. Lợi nhuận sau thuế chưa phân phối,4031809386.0,5246325588.0,5942276386.0,5637614296.0,725775235.0,3324981102.0,7507505511.0,8343940937.0,-1240735718.0,-3965951004.0,4593050941.0,-2844538990.0,-3221087611.0,-1970150475.0,4088722540.0,3671522080.0,351280694.0,-1812888687.0,4417481131.0,-438360219.0,744742542.0,3014147400.0,3816281072.0,4632578927.0,-570356527.0,1169090330.0,4588554605.0,5863821511.0,2255223538.0,4765678391.0,6499007543.0,9867477645.0,5243123246.0,8548735300.0,9460861656.0,10732526362.0,6182636933.0,7617911864.0,10295817220.0,10852836110.0,9718660092.0,10564711058.0,14848901400.0,16645489160.0,12109242480.0,14113016962.0,16564307419.0,17792681096.0,13695699672.0,12852424919.0,14917926298.0,8021883849.0,6309534190.0,12143063020.0,12885595804.0,14408007279.0
LNST chưa phân phối lũy kế đến cuối kỳ trước,,,,,,,,,,,,,,,,,,,,,,,,,327404918.0,327404918.0,327404918.0,4576881593.0,429237625.0,429237625.0,429237625.0,6578742445.0,1584892818.0,1584892818.0,1584892818.0,9607861656.0,4226034856.0,4226018856.0,4226018856.0,10295817220.0,5068688020.0,5068688020.0,5068688020.0,14848901400.0,8166835170.0,8166835170.0,8166835170.0,16584936648.0,10970299648.0,10970299648.0,10970299648.0,2802471853.0,2802471853.0,2802471853.0,2802911622.0,2802911622.0
LNST chưa phân phối kỳ này,,,,,,,,,,,,,,,,,,,,,,,,,-897761445.0,841685412.0,4261149687.0,1286939918.0,1825985913.0,4336440766.0,6069769918.0,3288735200.0,3658230428.0,6963842482.0,7875968838.0,1124664706.0,1956602077.0,3391893008.0,6069798364.0,557018890.0,4649972072.0,5496023038.0,9780213380.0,1796587760.0,3942407310.0,5946181792.0,8397472249.0,1207744448.0,2725400024.0,1882125271.0,3947626650.0,5219411996.0,3507062337.0,9340591167.0,10082684182.0,11605095657.0
12. Nguồn vốn đầu tư xây dựng cơ bản,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13. Quỹ hỗ trợ sắp xếp doanh nghiệp,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14. Lợi ích của cổ đông không kiểm soát,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1359552320.0,5183812483.0,4821214862.0,5671584153.0,5559305437.0,5478741071.0,5963691137.0,5889845899.0,6441616962.0,5506695412.0,5960267608.0,6416747199.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
II. Nguồn kinh phí và quỹ khác,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1. Nguồn kinh phí ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2. Nguồn kinh phí đã hình thành tài sản cố định,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3. Quỹ dự phòng trợ cấp mất việc làm,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TỔNG CỘNG NGUỒN VỐN,53166064191.0,72154602561.0,96055067805.0,93159077749.0,92621849095.0,82556032138.0,90995617438.0,112285109348.0,92464990460.0,83987037710.0,110459885640.0,81713076182.0,77546803524.0,80224134602.0,95581419606.0,87514539909.0,86596620764.0,74264116426.0,96282155037.0,81587249864.0,79434002864.0,88489214397.0,84126423724.0,69347032999.0,64754315124.0,76927575949.0,120382738313.0,104711219492.0,98959258344.0,111305396578.0,155621999091.0,158833075904.0,173900219734.0,156518655177.0,199877813372.0,140995314035.0,125700092677.0,134195612940.0,151066742644.0,129732362070.0,143364893014.0,130918094527.0,175520612889.0,139357698657.0,125593210514.0,146024158465.0,166257522795.0,128326865376.0,118855353268.0,110064841294.0,102088192304.0,95249618773.0,201898031364.0,243864636346.0,249342990277.0,211319666585.0
